geoname;latitud;longitud
3427968;-27.55;-5.986.667
3427969;-3.620.703;-5.774.281
3427970;-2.550.461;-5.790.122
3427971;-3.642.617;-5.816.765
3427972;-33.45;-5.973.333
3427973;-3.605.033;-5.833.917
3427974;-297.076;-5.963.651
3427975;-268.032;-5.895.928
3427976;-3.632.998;-5.909.358
3427977;-368.315;-5.746.175
3427978;-3.683.333;-57.45
3427979;-2.506.868;-5.834.983
3427980;-2.983.051;-5.902.087
3427981;-3.832.775;-5.972.314
3427982;-3.811.667;-58.95
3427983;-386.964;-5.965.973
3427984;-3.846.582;-5.875.416
3427985;-3.836.667;-58.1
3427986;-3.818.387;-5.765.488
3427987;-378.022;-5.746.962
3427988;-2.566.091;-5.816.562
3427989;-2.574.189;-5.809.456
3427990;-37.35;-57.4
3427991;-2.825.529;-5.640.571
3427992;-3.309.478;-5.826.734
3427993;-3.145.035;-5.908.594
3427994;-3.123.794;-5.921.872
3427995;-3.069.466;-5.915.585
3427996;-2.996.926;-5.873.945
3427997;-334.763;-5.894.381
3427998;-28.95;-5.881.667
3427999;-3.394.466;-5.842.276
3428000;-2.777.268;-5.644.181
3428001;-2.938.496;-5.856.343
3428002;-2.937.432;-5.804.951
3428003;-30;-5.866.667
3428004;-2.935.847;-5.926.773
